Compétence,Famille,ID export
Acrobaties,Biologique,
Adaptabilité,Biologique,
Affaires,Culturel,
Alchimie,Surnaturel,
Alphabétisation,Technologique,
Altération biologique,Biologique,
Arbalètes,Technologique,
Architecture,Technologique,
Archéologie,Culturel,
Arcs,Technologique,
Armement de siège,Technologique,
Armes Contondantes,Technologique,
Armes de gros calibre,Technologique,
Armes de Lancer Courbe,Technologique,
Armes de Poing,Technologique,
Armes d’Épaule,Technologique,
Armes imaginaires,Surnaturel,
Armes Perforantes,Technologique,
Armes Tranchantes,Technologique,
Armes à système de visée,Technologique,
Armurerie,Technologique,
Armures Articulées,Technologique,
Armures légères,Technologique,
Armures Pesantes,Technologique,
Armures spirituelles,Surnaturel,
Armures Symbiotiques,Biologique,
Artisanat,Technologique,
Augmentation,Technologique,
Aviation,Technologique,
Bibliothèque,Technologique,
Biologie,Culturel,
Biotechnologies,Biologique,
Bricolage,Technologique,
Bureautique,Technologique,
Bâtiment,Technologique,
Bénédictions religieuses,Surnaturel,
Canotage,Technologique,
Chimie,Technologique,
Chirurgie,Technologique,
Combat sans Armure,Biologique,
Commandement,Culturel,
Complicité,Culturel,
Conduite,Technologique,
Conduite d'attelage,Technologique,
Conjuration divine,Surnaturel,
Connaissance de l'Armement,Culturel,
Connaissances Générales,Culturel,
Connaissances Scientifiques,Culturel,
Construction orbitale,Technologique,
Contrôle génétique,Biologique,
Convertisseurs de poche,Surnaturel,
Course,Biologique,
Crochetage,Technologique,
Croyances,Culturel,
Création des Fleurs,Surnaturel,
Création d’armes psychiques,Surnaturel,
Création d’artefacts,Surnaturel,
Cultures,Culturel,
Cybernétique,Technologique,
Dessin,Culturel,
Diplomatie,Culturel,
Dissimulation,Culturel,
Distorsion de la réalité,Surnaturel,
Divertissement,Culturel,
Divination,Surnaturel,
Dodécaèdres élémentaires,Technologique,
Domptage,Culturel,
Dressage,Technologique,
Duperie,Culturel,
Déblaiement,Technologique,
Déguisement,Culturel,
Dépeçage,Biologique,
Déplacement silencieux,Culturel,
Détecteurs,Technologique,
Effet placebo,Surnaturel,
Embuscade,Culturel,
Endurance,Biologique,
Engloutissement des Corps,Biologique,
Engloutissement des Esprits,Surnaturel,
Engloutissement des Âmes,Surnaturel,
Escalade,Biologique,
Espèce individuelle,Biologique,
Esquive,Biologique,
Explosifs à Détonateur,Technologique,
Falsification,Culturel,
Façonnage Spirituel,Culturel,
Folklore,Culturel,
Forge,Technologique,
Fouille,Biologique,
Fragments de Douleur,Surnaturel,
Fusion mécanique,Surnaturel,
Greffons,Biologique,
Histoire de l'art,Culturel,
Horlogerie,Technologique,
Hybridation limitée,Biologique,
Hypnose,Surnaturel,
Illégalité,Culturel,
Imprimerie,Technologique,
Industrie mobile,Technologique,
Infiltration informatique,Technologique,
Informatique,Technologique,
Infrastructures,Technologique,
Ingénierie,Technologique,
Ingénierie biomécanique,Technologique,
Ingénierie génétique,Biologique,
Ingénierie mécanique,Technologique,
Initiative,Culturel,
Intelligence artificielle,Technologique,
Intimidation,Culturel,
Invocation,Surnaturel,
Langage des Arbres,Biologique,
Langages,Culturel,
Littérature,Culturel,
Légalité,Culturel,
Manifestations psychiques,Surnaturel,
Manipulation de matière,Technologique,
Maîtrise des artefacts,Surnaturel,
Modification instantanée du corps,Biologique,
Musique,Culturel,
Mutation personnelle,Biologique,
Mutations naturelles,Biologique,
Mécanique industrielle,Technologique,
Médecine,Technologique,
Métamorphose,Surnaturel,
Métiers,Culturel,
Nanotechnologies,Technologique,
Natation,Biologique,
Navigation,Technologique,
Navigation basique,Technologique,
Neurosciences,Culturel,
Nucléaire,Technologique,
Négoce,Culturel,
Négociation,Culturel,
Occultisme,Surnaturel,
Onirisme,Surnaturel,
Orientation,Culturel,
Parade,Technologique,
Perception auditive,Biologique,
Perception visuelle,Biologique,
Pilotage de grands vaisseaux,Technologique,
Pilotage de Petits Vaisseaux,Technologique,
Piratage informatique,Technologique,
Pistage,Culturel,
Pousser / Tirer,Biologique,
Premiers explosifs,Technologique,
Premiers soins,Technologique,
Programmation,Technologique,
Protections Meurtrières,Technologique,
Psychiatrie,Culturel,
Psycho-histoire,Culturel,
Psychologie,Culturel,
Pyrokinésie,Surnaturel,
Renseignement,Culturel,
Rhétorique,Culturel,
Robotique,Technologique,
Régénération,Biologique,
Résistance biologique,Biologique,
Résistance Parapsychologique,Culturel,
Résistance physiologique,Biologique,
Résistance physique,Biologique,
Résistance Psychologique,Culturel,
Résistance Énergétique,Biologique,
Sabotage,Technologique,
Saut,Biologique,
Sciences sociales,Culturel,
Sensibilité paranormale,Surnaturel,
Sensopathie,Surnaturel,
Sorcellerie,Surnaturel,
Soulever,Biologique,
Stratégie,Culturel,
Superstition,Surnaturel,
Survie,Culturel,
Systèmes de Communication,Technologique,
Séduction,Culturel,
Tactique,Culturel,
Technologies portatives,Technologique,
Terraforming,Technologique,
Théologie,Culturel,
Troc,Culturel,
Télékinésie,Surnaturel,
Vagues élémentaires,Surnaturel,
Ventriloquie,Culturel,
Vigilance,Biologique,
Vol à la Tire,Culturel,
Écologie,Technologique,
Écrans Protecteurs,Technologique,
Écriture,Technologique,
Élasticité,Biologique,
Électricité,Technologique,
Électronique,Technologique,
Éloquence,Culturel,
Équilibre,Biologique,
Équitation,Technologique,
Étiquette,Culturel,
Étude des Créatures,Culturel,
Évaluation,Culturel,
Éveil des Plantes,Surnaturel,
